"","name","cost","number"
"1","$1,000,000 Cash Blowout",10,"728"
"2","$1,000,000 Cashword",20,"699"
"3","$1,000,000 Merry Multiplier",20,"750"
"4","$100 Million Cash Extravaganza",20,"488"
"5","$150,000 Winter Spectacular",5,"753"
"6","$2,000,000 Jackpot Multiplier",20,"710"
"7","$25, $50 or $250",5,"627"
"8","$300 Million Diamond Dazzler",20,"671"
"9","$5 Million Payout",20,"461"
"10","$50, $100 or $500",10,"553"
"11","$500 Frenzy",5,"727"
"12","$500,000 Cashword",10,"698"
"13","7s",2,"719"
"14","Battleship",2,"726"
"15","Betty Boop",2,"743"
"16","Bingo",1,"658"
"17","Bingo Multiplier",2,"733"
"18","Bingo Times 25",5,"741"
"19","Bingo Times 50",10,"740"
"20","Cash Celebration",30,"552"
"21","Cash Explosion",2,"734"
"22","Cash Explosion Cashword",2,"670"
"23","Deluxe",20,"689"
"24","Electric 7s",20,"755"
"25","Extreme Millions",30,"433"
"26","Frosty the Doughman",1,"751"
"27","Ghostbusters",2,"737"
"28","Give Me 5",1,"603"
"29","Go for the Green",5,"769"
"30","Hit the Jackpot",20,"659"
"31","Holiday 50X the Money",10,"749"
"32","Holiday Cash",1,"742"
"33","Holiday Countdown (Gigantix)",10,"754"
"34","Holiday Lucky Times 10",5,"748"
"35","Hot 7s",1,"711"
"36","Lots of $500s",5,"771"
"37","Luck of the Irish",1,"691"
"38","Luck of the Irish Tripler",1,"621"
"39","Lucky Green",1,"725"
"40","Magic 8 Ball",2,"712"
"41","Magnificent Millions",20,"729"
"42","Match 2 Win",1,"718"
"43","Max the Money",30,"368"
"44","Mega Cash",20,"721"
"45","Millions",30,"625"
"46","Monopoly $1,000 a Week for Life",2,"701"
"47","Monopoly $10,000 a Month for Life",5,"702"
"48","Monopoly $250,000 a Year for Life",10,"703"
"49","Monopoly $50 a Day for Life",1,"700"
"50","Monopoly 200X",30,"696"
"51","My Lucky Day",1,"735"
"52","Ohio Bonus Cash",10,"715"
"53","Peppermint Payout",3,"744"
"54","Platinum Diamond Spectacular",20,"519"
"55","Plus the Money",5,"720"
"56","Power 25X",5,"713"
"57","Price Is Right",5,"738"
"58","Red, White and Blue Cash",2,"707"
"59","Slots of Fun  (Gigantix)",10,"709"
"60","Special Edition Cashword",5,"697"
"61","Stinkin Rich",1,"647"
"62","Triple 777 Red Hot Slots",2,"571"
"63","Triple Dough",1,"706"
"64","Triple Red 777",10,"770"
"65","Triple Tripler",1,"717"
"66","Whole Lotta $500s",5,"708"
"67","Winter Winnings",2,"752"
